Global Land Temperature Anomalies, value
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.33
188002,-0.72
188003,-0.79
188004,-0.46
188005,-0.27
188006,-0.19
188007,-0.34
188008,-0.28
188009,-0.50
188010,-0.77
188011,-0.96
188012,-0.65
188101,-0.62
188102,-0.52
188103,-0.25
188104,-0.18
188105,-0.12
188106,-0.59
188107,-0.38
188108,-0.16
188109,-0.48
188110,-0.90
188111,-1.02
188112,-0.30
188201,-0.01
188202,-0.28
188203,-0.28
188204,-0.81
188205,-0.62
188206,-0.55
188207,-0.53
188208,-0.11
188209,-0.34
188210,-0.89
188211,-0.61
188212,-0.78
188301,-1.28
188302,-1.47
188303,-0.72
188304,-0.75
188305,-0.59
188306,-0.03
188307,-0.38
188308,-0.38
188309,-0.54
188310,-0.72
188311,-0.89
188312,-0.49
188401,-0.60
188402,-0.87
188403,-0.97
188404,-0.82
188405,-0.62
188406,-0.51
188407,-0.73
188408,-0.62
188409,-0.78
188410,-0.69
188411,-0.91
188412,-0.57
188501,-1.47
188502,-0.82
188503,-0.57
188504,-0.68
188505,-0.63
188506,-0.62
188507,-0.53
188508,-0.60
188509,-0.52
188510,-0.50
188511,-0.29
188512,0.19
188601,-0.56
188602,-1.06
188603,-0.79
188604,-0.40
188605,-0.48
188606,-0.49
188607,-0.22
188608,-0.39
188609,-0.41
188610,-0.80
188611,-0.75
188612,0.03
188701,-1.17
188702,-0.95
188703,-0.35
188704,-0.50
188705,-0.24
188706,-0.51
188707,-0.38
188708,-0.58
188709,-0.26
188710,-0.71
188711,-0.31
188712,-0.24
188801,-0.84
188802,-0.79
188803,-0.83
188804,-0.19
188805,-0.47
188806,-0.41
188807,-0.24
188808,-0.50
188809,-0.32
188810,-0.20
188811,-0.45
188812,-0.26
188901,-0.67
188902,-0.11
188903,0.09
188904,0.17
188905,-0.33
188906,-0.25
188907,-0.25
188908,-0.27
188909,-0.46
188910,-0.66
188911,-0.90
188912,-0.37
189001,-0.72
189002,-0.72
189003,-0.62
189004,-0.34
189005,-0.78
189006,-0.42
189007,-0.22
189008,-0.43
189009,-0.53
189010,-0.37
189011,-0.94
189012,-0.61
189101,-0.87
189102,-1.34
189103,-0.39
189104,-0.61
189105,-0.47
189106,-0.53
189107,-0.36
189108,-0.44
189109,-0.26
189110,-0.73
189111,-0.91
189112,0.06
189201,-0.66
189202,-0.38
189203,-0.74
189204,-0.76
189205,-0.50
189206,-0.30
189207,-0.37
189208,-0.40
189209,-0.31
189210,-0.28
189211,-1.15
189212,-0.81
189301,-2.00
189302,-1.72
189303,-0.25
189304,-0.54
189305,-0.60
189306,-0.33
189307,-0.19
189308,-0.41
189309,-0.22
189310,-0.34
189311,-0.14
189312,-0.35
189401,-0.81
189402,-0.13
189403,-0.12
189404,-0.66
189405,-0.35
189406,-0.51
189407,-0.42
189408,-0.41
189409,-0.43
189410,-0.51
189411,-0.67
189412,-0.40
189501,-1.21
189502,-0.99
189503,-0.45
189504,-0.09
189505,-0.42
189506,-0.40
189507,-0.34
189508,-0.42
189509,-0.24
189510,-0.26
189511,-0.35
189512,-0.24
189601,-0.27
189602,-0.28
189603,-0.77
189604,-0.82
189605,-0.31
189606,-0.19
189607,-0.16
189608,-0.19
