Date;price_ram;Price_gold;processnodes(nm);AMDOpen;AMDHigh;AMDLow;AMDClose;AMDAdjClose;AMDVolume;IntelOpen;IntelHigh;IntelLow;IntelClose;IntelAdjClose;IntelVolume;MicrosoftOpen;MicrosoftHigh;MicrosoftLow;MicrosoftClose;MicrosoftAdjClose;MicrosoftVolume;Micronopen;Micronhigh;Micronlow;Micronclose;Micronvolume;hynixOpen;hynixClose;hynixHigh;hynixLow;Volume;SamsungOpen;SamsungHigh;SamsungLow;SamsungClose;SamsungVolume;tupe_ram;max_stick;maks_desktop_gb
1960-01;5242880;35.090;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-02;5199538.867;35.090;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-03;5156197.733;35.090;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-04;5112856.6;35.110;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-05;5069515.467;35.100;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-06;5026174.333;35.090;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-07;4982833.2;35.100;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-08;4939492.067;35.130;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-09;4896150.933;35.220;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-10;4852809.8;35.780;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-11;4809468.667;35.820;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1960-12;4766127.533;35.540;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1961-01;4722786.4;35.560;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1961-02;4679445.267;35.170;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1961-03;4636104.133;35.080;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
