date_k;price_ram;Date;Price_gold;process nodes(nm)
01.01.1960;5242880;1960-01;35.090;10000
01.01.1960;5199538,867;1960-02;35.090;10000
01.01.1960;5156197,733;1960-03;35.090;10000
01.01.1960;5112856,6;1960-04;35.110;10000
01.01.1960;5069515,467;1960-05;35.100;10000
01.01.1960;5026174,333;1960-06;35.090;10000
01.01.1960;4982833,2;1960-07;35.100;10000
01.01.1960;4939492,067;1960-08;35.130;10000
01.01.1960;4896150,933;1960-09;35.220;10000
01.01.1960;4852809,8;1960-10;35.780;10000
01.01.1960;4809468,667;1960-11;35.820;10000
01.01.1960;4766127,533;1960-12;35.540;10000
01.01.1960;4722786,4;1961-01;35.560;10000
01.01.1960;4679445,267;1961-02;35.170;10000
01.01.1960;4636104,133;1961-03;35.080;10000
01.01.1960;4592763;1961-04;35.080;10000
01.01.1960;4549421,867;1961-05;35.060;10000
01.01.1960;4506080,733;1961-06;35.070;10000
01.01.1960;4462739,6;1961-07;35.110;10000
01.01.1960;4419398,467;1961-08;35.160;10000
01.01.1960;4376057,333;1961-09;35.190;10000
01.01.1960;4332716,2;1961-10;35.190;10000
01.01.1960;4289375,067;1961-11;35.190;10000
01.01.1960;4246033,933;1961-12;35.150;10000
01.01.1960;4202692,8;1962-01;35.160;10000
01.01.1960;4159351,667;1962-02;35.130;10000
01.01.1960;4116010,533;1962-03;35.090;10000
01.01.1960;4072669,4;1962-04;35.080;10000
01.01.1960;4029328,267;1962-05;35.080;10000
01.01.1960;3985987,133;1962-06;35.100;10000
01.01.1960;3942646;1962-07;35.120;10000
01.01.1960;3899304,867;1962-08;35.120;10000
01.01.1960;3855963,733;1962-09;35.130;10000
01.01.1960;3812622,6;1962-10;35.140;10000
01.01.1960;3769281,467;1962-11;35.090;10000
01.01.1960;3725940,333;1962-12;35.080;10000
01.01.1960;3682599,2;1963-01;35.060;10000
01.01.1960;3639258,067;1963-02;35.080;10000
01.01.1960;3595916,933;1963-03;35.100;10000
01.01.1960;3552575,8;1963-04;35.100;10000
01.01.1960;3509234,667;1963-05;35.080;10000
01.01.1960;3465893,533;1963-06;35.080;10000
01.01.1960;3422552,4;1963-07;35.090;10000
01.01.1960;3379211,267;1963-08;35.100;10000
01.01.1960;3335870,133;1963-09;35.080;10000
01.01.1960;3292529;1963-10;35.080;10000
01.01.1960;3249187,867;1963-11;35.080;10000
01.01.1960;3205846,733;1963-12;35.080;10000
01.01.1960;3162505,6;1964-01;35.080;10000
01.01.1960;3119164,467;1964-02;35.080;10000
01.01.1960;3075823,333;1964-03;35.080;10000
01.01.1960;3032482,2;1964-04;35.080;10000
01.01.1960;2989141,067;1964-05;35.080;10000
01.01.1960;2945799,933;1964-06;35.080;10000
01.01.1960;2902458,8;1964-07;35.080;10000
01.01.1960;2859117,667;1964-08;35.080;10000
01.01.1960;2815776,533;1964-09;35.090;10000
01.01.1960;2772435,4;1964-10;35.110;10000
01.01.1960;2729094,267;1964-11;35.100;10000
01.01.1960;2685753,133;1964-12;35.120;10000
01.01.1965;2642412;1965-01;35.130;10000
01.01.1965;2610605,183;1965-02;35.140;10000
01.01.1965;2578798,367;1965-03;35.160;10000
01.01.1965;2546991,55;1965-04;35.140;10000
01.01.1965;2515184,733;1965-05;35.100;10000
01.01.1965;2483377,917;1965-06;35.100;10000
01.01.1965;2451571,1;1965-07;35.120;10000
01.01.1965;2419764,283;1965-08;35.150;10000
01.01.1965;2387957,467;1965-09;35.140;10000
01.01.1965;2356150,65;1965-10;35.110;10000
01.01.1965;2324343,833;1965-11;35.110;10000
01.01.1965;2292537,017;1965-12;35.130;10000
01.01.1965;2260730,2;1966-01;35.150;10000
01.01.1965;2228923,383;1966-02;35.170;10000
01.01.1965;2197116,567;1966-03;35.150;10000
01.01.1965;2165309,75;1966-04;35.130;10000
01.01.1965;2133502,933;1966-05;35.120;10000
01.01.1965;2101696,117;1966-06;35.150;10000
01.01.1965;2069889,3;1966-07;35.180;10000
01.01.1965;2038082,483;1966-08;35.180;10000
01.01.1965;2006275,667;1966-09;35.190;10000
01.01.1965;1974468,85;1966-10;35.160;10000
01.01.1965;1942662,033;1966-11;35.160;10000
01.01.1965;1910855,217;1966-12;35.180;10000
01.01.1965;1879048,4;1967-01;35.180;10000
01.01.1965;1847241,583;1967-02;35.170;10000
01.01.1965;1815434,767;1967-03;35.160;10000
01.01.1965;1783627,95;1967-04;35.170;10000
01.01.1965;1751821,133;1967-05;35.180;10000
01.01.1965;1720014,317;1967-06;35.190;10000
01.01.1965;1688207,5;1967-07;35.190;10000
01.01.1965;1656400,683;1967-08;35.190;10000
01.01.1965;1624593,867;1967-09;35.190;10000
01.01.1965;1592787,05;1967-10;35.190;10000
01.01.1965;1560980,233;1967-11;35.200;10000
01.01.1965;1529173,417;1967-12;35.190;10000
01.01.1965;1497366,6;1968-01;35.180;10000
01.01.1965;1465559,783;1968-02;35.200;10000
01.01.1965;1433752,967;1968-03;35.200;10000
01.01.1965;1401946,15;1968-04;37.878;10000
01.01.1965;1370139,333;1968-05;40.691;10000
01.01.1965;1338332,517;1968-06;41.111;10000
01.01.1965;1306525,7;1968-07;39.530;10000
01.01.1965;1274718,883;1968-08;39.170;10000
01.01.1965;1242912,067;1968-09;40.203;10000
01.01.1965;1211105,25;1968-10;39.210;10000
01.01.1965;1179298,433;1968-11;39.795;10000
